,6615,6703,6688,6613
6472,11.93447,152.567745,198.118801,26.96107
6835,39.12506,112.449526,161.466789,11.522097
6724,85.841481,223.940384,273.207915,105.300308
6618,92.832849,232.108303,279.709789,112.397518
6254,81.374653,218.247108,261.800274,100.167397
6343,16.256664,134.536113,182.068469,10.180551
6340,92.121165,229.767683,277.720898,109.92778
6642,87.573619,226.849831,272.374161,106.316581
6822,31.000577,124.875539,170.514443,14.901497
6792,180.590796,33.410859,179.826165,162.2197
6624,186.35263,335.816856,385.48932,215.044288
6438,104.557979,242.505428,291.739709,124.34995
6560,94.100162,234.777926,281.150756,113.997773
6586,217.66415,71.565507,92.963617,199.030192
6808,82.913755,220.057514,268.369551,100.322534
6605,16.860604,151.891351,200.697951,39.039789
6929,204.464417,134.218175,14.71512,186.458935
6113,83.382367,220.905932,268.793517,100.997341
6901,94.438532,234.699214,282.254866,114.19558
6865,84.48582,219.579271,255.977437,110.294427
6310,93.058592,236.567401,283.82632,117.800223
6313,84.660156,224.676949,272.79394,104.633027
7015,81.175713,218.947644,265.835156,98.493193
6568,214.283539,79.140119,93.505385,208.98127
6915,236.740365,140.546476,46.682634,219.248184
6752,157.152747,243.040434,326.785032,179.957074
6636,201.540824,120.697419,1.76455,183.587899
6467,144.886421,2.340681,141.041711,126.659489
6685,62.815802,105.540404,145.627021,40.228309
6094,91.986016,232.964584,281.957136,112.982824
6873,88.293943,231.490403,278.85165,112.335391
6609,78.935258,216.404434,264.543599,96.563889
6812,93.66602,233.625807,281.327214,113.216763
6493,60.926484,96.961706,144.565405,51.387154
6335,111.672292,255.249805,302.396022,134.324707
6381,197.653765,49.795694,124.719354,172.863987
6758,163.634766,247.069772,328.706285,183.084724
6469,97.977069,241.548819,289.799667,121.048112
6354,101.988683,241.539723,289.718581,121.528449
6579,102.492591,245.382895,292.928265,125.353625
6942,109.687387,250.117461,284.815699,140.366757
7005,83.848067,224.138579,273.174744,104.033509
6647,86.122614,239.022304,275.058213,106.010192
7032,222.566747,68.819217,134.601805,206.903729
6762,112.869628,253.869208,301.174795,134.061834
6455,143.761035,1.573109,120.385723,125.806878
7016,220.839274,83.543725,105.380244,203.905393
6939,91.695821,231.959671,279.619945,111.607428
6451,76.9798,214.156014,262.973166,94.331926
6852,116.605685,256.543063,304.259894,137.350796
6997,122.909324,276.888988,311.031326,144.568701
6861,105.566723,244.523429,292.251273,124.914797
6667,99.680639,242.30096,292.906011,122.309189
6630,83.456839,221.197622,269.05747,101.162796
6499,81.584687,217.851511,267.552368,96.883889
6753,167.406791,257.028396,340.250918,190.842827
6226,202.787649,144.682359,93.859953,184.579961
7043,61.211394,95.229698,140.992809,43.094023
6325,100.573998,242.39588,284.822222,117.317605
6949,88.965645,231.31405,279.652727,112.702683
6787,91.483448,231.230328,279.143352,111.364225
6567,85.322868,222.881264,270.471376,102.694122
6349,127.796495,265.142575,303.0185,152.697126
6437,29.912772,133.262713,240.162391,20.160825
6767,95.214326,235.718794,284.078559,116.114622
6452,22.925298,153.303401,198.717996,34.505552
6225,95.572629,233.23025,281.188442,113.094905
6527,117.650013,257.489858,305.628941,137.76311
6708,85.005055,224.961735,273.07839,104.932804
6716,82.901205,220.138143,267.767115,100.254754
6784,85.503535,245.114554,291.869387,105.49243
6827,105.283896,245.272914,292.459629,125.000258
6862,85.94273,223.336703,271.863395,103.546395
6291,100.777311,240.809761,287.889277,122.879278
